# LocalPinyinIME self-maintained built-in lexicon v2.
# UTF-8 TSV format: pinyin<TAB>word<TAB>frequency
# Project-maintained first-party entries only; no third-party bulk lexicon import.
# Frequency values are relative project-maintained ranking weights, not corpus statistics.
# category: existing_v1
nihao	你好	9000
xiexie	谢谢	9000
zaijian	再见	9000
jintian	今天	9000
mingtian	明天	9000
zuotian	昨天	9000
xianzai	现在	9000
shihou	时候	9000
yinwei	因为	9000
suoyi	所以	9000
keyi	可以	9000
bukeyi	不可以	9000
meiyou	没有	9000
zhidao	知道	9000
xihuan	喜欢	9000
xuyao	需要	9000
wenti	问题	9000
diannao	电脑	9000
shouji	手机	9000
wangluo	网络	9000
wenjian	文件	9000
ruanjian	软件	9000
xuexi	学习	9000
xuexiao	学校	9000
daxue	大学	9000
laoshi	老师	9000
tongxue	同学	9000
kaoshi	考试	9000
zuoye	作业	9000
kecheng	课程	9000
henbang	很棒	9000
women	我们	9000
nimen	你们	9000
tamen	他们	9000
dajia	大家	9000
ziji	自己	9000
wo	我	9000
ni	你	9000
ta	他	9000
ta	她	9000
ta	它	9000
shi	是	9000
you	有	9000
zai	在	9000
de	的	9000
le	了	9000
bu	不	9000
yi	一	9000
ge	个	9000
ren	人	9000
zhong	中	9000
guo	国	9000
da	大	9000
xiao	小	9000
shang	上	9000
xia	下	9000
lai	来	9000
qu	去	9000
kan	看	9000
ting	听	9000
shuo	说	9000
xiang	想	9000
yao	要	9000
hui	会	9000
neng	能	9000
hao	好	9000
huai	坏	9000
duo	多	9000
shao	少	9000
xin	新	9000
lao	老	9000
gao	高	9000
di	低	9000
kuai	快	9000
man	慢	9000
zhen	真	9000
jia	家	9000
xue	学	9000
wen	问	9000
ti	题	9000
dian	电	9000
nao	脑	9000
shou	手	9000
ji	机	9000
wang	网	9000
luo	络	9000
ruan	软	9000
jian	件	9000
ke	课	9000
cheng	程	9000
zuo	作	9000
ye	业	9000
kao	考	9000
shi	试	9000
tian	天	9000
ming	明	9000
zuo	昨	9000
xian	现	9000
shi	时	9000
hou	候	9000
yin	因	9000
wei	为	9000
suo	所	9000
yi	以	9000
mei	没	9000
zhi	知	9000
dao	道	9000
xi	喜	9000
huan	欢	9000
xu	需	9000
peng	朋	9000
you	友	9000
fu	父	9000
mu	母	9000
hai	孩	9000
zi	子	9000
zao	早	9000
wan	晚	9000
nian	年	9000
yue	月	9000
ri	日	9000
zhou	周	9000
fen	分	9000
miao	秒	9000
qian	前	9000
hou	后	9000
li	里	9000
wai	外	9000
dong	东	9000
nan	南	9000
xi	西	9000
bei	北	9000
zuo	左	9000
you	右	9000
jin	近	9000
yuan	远	9000
leng	冷	9000
re	热	9000
qing	晴	9000
yu	雨	9000
feng	风	9000
xue	雪	9000
chi	吃	9000
he	喝	9000
mai	买	9000
mai	卖	9000
qian	钱	9000
che	车	9000
lu	路	9000
men	门	9000
kou	口	9000
xin	心	9000
shen	身	9000
tou	头	9000
yan	眼	9000
er	耳	9000
bi	笔	9000
shu	书	9000
bao	包	9000
biao	表	9000
tu	图	9000
yin	音	9000
le	乐	9000
ying	影	9000
wen	文	9000
dang	档	9000
shu	数	9000
ju	据	9000
zhege	这个	7000
nage	那个	7000
shenme	什么	7000
weishenme	为什么	7000
zenme	怎么	7000
nali	哪里	7000
zheli	这里	7000
nali	那里	7000
duoshao	多少	7000
yiqi	一起	7000
yizhi	一直	7000
yijing	已经	7000
haishi	还是	7000
danshi	但是	7000
ruguo	如果	7000
ranhou	然后	7000
keneng	可能	7000
yinggai	应该	7000
yiding	一定	7000
qishi	其实	7000
zhende	真的	7000
juede	觉得	7000
gongzuo	工作	7000
shenghuo	生活	7000
shijian	时间	7000
difang	地方	7000
shiqing	事情	7000
pengyou	朋友	7000
jiaren	家人	7000
jiating	家庭	7000
fumu	父母	7000
haizi	孩子	7000
zaoshang	早上	7000
zhongwu	中午	7000
wanshang	晚上	7000
xiawu	下午	7000
shangwu	上午	7000
zhoumo	周末	7000
jinnian	今年	7000
mingnian	明年	7000
qunian	去年	7000
meitian	每天	7000
meici	每次	7000
yihou	以后	7000
yiqian	以前	7000
zuijin	最近	7000
yihui	一会	7000
mashang	马上	7000
qingwen	请问	5000
mafan	麻烦	5000
baoqian	抱歉	5000
meiguanxi	没关系	5000
duibuqi	对不起	5000
zaoan	早安	5000
wanan	晚安	5000
huanying	欢迎	5000
bangmang	帮忙	5000
bangzhu	帮助	5000
tixing	提醒	5000
jianyi	建议	5000
yijian	意见	5000
fangfa	方法	5000
fangshi	方式	5000
neirong	内容	5000
jieguo	结果	5000
yuanyin	原因	5000
guocheng	过程	5000
qingkuang	情况	5000
zhuangtai	状态	5000
jihua	计划	5000
mubiao	目标	5000
anpai	安排	5000
jilu	记录	5000
guanli	管理	5000
jiancha	检查	5000
xuanze	选择	5000
jueding	决定	5000
zhunbei	准备	5000
kaishi	开始	5000
jieshu	结束	5000
wancheng	完成	5000
baocun	保存	5000
dakai	打开	5000
guanbi	关闭	5000
fasong	发送	5000
jieshou	接收	5000
xiazai	下载	5000
shangchuan	上传	5000
gengxin	更新	5000
anzhuang	安装	5000
shezhi	设置	5000
shuru	输入	5000
shuchu	输出	5000
sousuo	搜索	5000
fuzhi	复制	5000
zhantie	粘贴	5000
dayin	打印	5000
shanchu	删除	5000
beifen	备份	5000
huifu	恢复	5000
zhanghao	账号	5000
mima	密码	5000
anquan	安全	5000
yinsi	隐私	5000
bendi	本地	5000
lixian	离线	5000
zhongwen	中文	5000
hanzi	汉字	5000
pinyin	拼音	5000
cidian	词典	5000
ciku	词库	5000
houxuan	候选	5000
xuesheng	学生	3000
ketang	课堂	3000
jiaoshi	教室	3000
tushuguan	图书馆	3000
